# Initial abundances
# El  Z   log e(X)   [X/H]    [X/Fe]     [X/O]      X(i)
  p   1  12.000000  0.000000  0.000000  0.000000 5.69404E-01
 he   2  11.219923  0.289923 -0.444600 -0.438726 3.75205E-01
 li   3   3.993917  0.733917 -0.000605  0.005268 3.86634E-08
 be   4   0.000000 -1.300000  0.000000  0.000000 0.00000E+00
  b   5   0.000000 -2.790000  0.000000  0.000000 0.00000E+00
  c   6   9.204515  0.734515 -0.000008  0.005866 1.08656E-02
  n   7   8.604527  0.734527  0.000004  0.005877 3.18296E-03
  o   8   9.458649  0.728649 -0.005874  0.000000 2.59837E-02
  f   9   5.194516  0.774516  0.039993  0.045866 1.67952E-06
 ne  10   8.704520  0.734520 -0.000002  0.005871 5.77301E-03
 na  11   7.044536  0.734536  0.000013  0.005887 1.43891E-04
 mg  12   8.374519  0.734519 -0.000003  0.005870 3.25218E-03
 al  13   7.204525  0.734525  0.000002  0.005876 2.44095E-04
 si  14   8.284525  0.734525  0.000002  0.005876 3.05475E-03
  p  15   6.204525  0.734525  0.000002  0.005876 2.80209E-05
  s  16   7.894436  0.734436 -0.000087  0.005787 1.42046E-03
 fe  26   8.274523  0.734523  0.000000  0.005874 5.93563E-03
 co  27   5.604521  0.734521 -0.000002  0.005872 1.33918E-05
 ni  28   6.930487  0.730487 -0.004035  0.001838 2.82510E-04
#[ls/Fe]_Bisterzo =   0.0000, [hs/Fe]_Bisterzo =   0.0000
#[hs/ls]_Bisterzo =   0.0000, [Pb/hs]_Bisterzo =   0.0000
#[ls/Fe]_Thiswork =   0.0000, [hs/Fe]_Thiswork =   0.0000
#[hs/ls]_Thiswork =   0.0000, [Pb/hs]_Thiswork =   0.0000
# He/H =  0.0000E+00, C/O =  5.5702E-01, c12/c13 = 8.93984E+01
# N/O =  1.3992E-01, n14/n15 = 4.34988E+02
# o16/o17 = 2.63212E+03, o16/o18 = 5.00000E+02
# mg24/mg25 =  7.8990E+00, mg24/mg26 =  7.1744E+00 al26/al27 =  0.0000E+00
# si28/si29 =  1.9693E+01, si28/si30 =  2.9875E+01
# cl36/cl35 =  2.3094E-02, cl37/cl35 =  3.0735E-03
#
# During TP-AGB
#  TP   Mass     Mcore    Menv    log L
#  1 5.994634 0.901195 5.093440 4.413569
# El  Z   log e(X)   [X/H]    [X/Fe]     [X/O]      X(i)
  p   1  12.000000  0.000000  0.000000  0.000000 5.15829E-01
 he   2  11.319974  0.389974 -0.344549 -0.338675 4.27961E-01
 li   3  -1.008194 -4.268194 -5.002717 -4.996843 3.48557E-13
 be   4   3.232799  1.932799  0.000000  0.000000 7.88252E-09
  b   5   0.000000 -2.790000  0.000000  0.000000 5.01256E-25
  c   6   9.017539  0.547539 -0.186984 -0.181110 6.39976E-03
  n   7   9.173492  1.303493  0.568970  0.574843 1.06877E-02
  o   8   9.455346  0.725347 -0.009176  0.000000 2.33606E-02
  f   9   5.177356  0.757356  0.022833  0.032009 1.46254E-06
 ne  10   8.742360  0.772360  0.037838  0.047014 5.70593E-03
 na  11   7.272402  0.962402  0.227880  0.237056 2.20286E-04
 mg  12   8.417392  0.777392  0.042869  0.052045 3.25187E-03
 al  13   7.248090  0.778090  0.043567  0.052743 2.44461E-04
 si  14   8.327442  0.777442  0.042919  0.052095 3.05476E-03
  p  15   6.247580  0.777580  0.043057  0.052233 2.80299E-05
  s  16   7.937347  0.777348  0.042825  0.052001 1.42044E-03
 fe  26   8.317437  0.777437  0.000000  0.052091 5.93563E-03
 co  27   5.648424  0.778424  0.000987  0.053078 1.34223E-05
 ni  28   6.973359  0.773359 -0.004078  0.048013 2.82482E-04
#[ls/Fe]_Bisterzo =   0.0000, [hs/Fe]_Bisterzo =   0.0000
#[hs/ls]_Bisterzo =   0.0000, [Pb/hs]_Bisterzo =   0.0000
#[ls/Fe]_Thiswork =   0.0000, [hs/Fe]_Thiswork =   0.0000
#[hs/ls]_Thiswork =   0.0000, [Pb/hs]_Thiswork =   0.0000
# He/H =  0.0000E+00, C/O =  3.6492E-01, c12/c13 = 1.75136E+01
# N/O =  5.2257E-01, n14/n15 = 3.54562E+03
# o16/o17 = 4.92430E+02, o16/o18 = 7.23250E+02
# mg24/mg25 =  8.2590E+00, mg24/mg26 =  6.9075E+00 al26/al27 =  7.8236E-04
# si28/si29 =  1.9694E+01, si28/si30 =  2.9872E+01
# cl36/cl35 =  2.3129E-02, cl37/cl35 =  3.0837E-03
#
#  TP   Mass     Mcore    Menv    log L
#  2 5.992254 0.902006 5.090248 4.422387
# El  Z   log e(X)   [X/H]    [X/Fe]     [X/O]      X(i)
  p   1  12.000000  0.000000  0.000000  0.000000 5.15829E-01
 he   2  11.319973  0.389973 -0.387465 -0.335374 4.27961E-01
 li   3  -1.009023 -4.269023 -5.046460 -4.994370 3.47892E-13
 be   4   3.232935  1.932935  0.000000  0.000000 7.88499E-09
  b   5   0.000000 -2.790000  0.000000  0.000000 3.14458E-25
  c   6   9.017541  0.547541 -0.229897 -0.177806 6.39979E-03
  n   7   9.173490  1.303490  0.526052  0.578143 1.06876E-02
  o   8   9.455346  0.725347 -0.052091  0.000000 2.33606E-02
  f   9   5.177356  0.757356 -0.020082  0.032009 1.46255E-06
 ne  10   8.742360  0.772360 -0.005077  0.047014 5.70593E-03
 na  11   7.272401  0.962401  0.184964  0.237054 2.20285E-04
 mg  12   8.417392  0.777392 -0.000045  0.052045 3.25187E-03
 al  13   7.248089  0.778089  0.000652  0.052742 2.44460E-04
 si  14   8.327442  0.777442  0.000005  0.052095 3.05476E-03
  p  15   6.247579  0.777579  0.000142  0.052233 2.80299E-05
  s  16   7.937347  0.777348 -0.000090  0.052001 1.42044E-03
 fe  26   8.317437  0.777437  0.000000  0.052091 5.93563E-03
 co  27   5.648424  0.778424  0.000987  0.053078 1.34223E-05
 ni  28   6.973359  0.773359 -0.004078  0.048012 2.82482E-04
#[ls/Fe]_Bisterzo =   0.0000, [hs/Fe]_Bisterzo =   0.0000
#[hs/ls]_Bisterzo =   0.0000, [Pb/hs]_Bisterzo =   0.0000
#[ls/Fe]_Thiswork =   0.0000, [hs/Fe]_Thiswork =   0.0000
#[hs/ls]_Thiswork =   0.0000, [Pb/hs]_Thiswork =   0.0000
# He/H =  0.0000E+00, C/O =  3.6492E-01, c12/c13 = 1.75137E+01
# N/O =  5.2257E-01, n14/n15 = 3.54586E+03
# o16/o17 = 4.92434E+02, o16/o18 = 7.23248E+02
# mg24/mg25 =  8.2590E+00, mg24/mg26 =  6.9075E+00 al26/al27 =  7.8076E-04
# si28/si29 =  1.9694E+01, si28/si30 =  2.9872E+01
# cl36/cl35 =  2.3129E-02, cl37/cl35 =  3.0837E-03
#
#  TP   Mass     Mcore    Menv    log L
#  3 5.988770 0.902866 5.085904 4.430110
# El  Z   log e(X)   [X/H]    [X/Fe]     [X/O]      X(i)
  p   1  12.000000  0.000000  0.000000  0.000000 5.15830E-01
 he   2  11.319973  0.389973 -0.387465 -0.335374 4.27961E-01
 li   3  -1.075107 -4.335107 -5.112544 -5.060453 2.98786E-13
 be   4   3.235001  1.935001  0.000000  0.000000 7.92259E-09
  b   5   0.000000 -2.790000  0.000000  0.000000 2.12439E-25
  c   6   9.017542  0.547542 -0.229896 -0.177805 6.39981E-03
  n   7   9.173488  1.303488  0.526051  0.578141 1.06876E-02
  o   8   9.455346  0.725347 -0.052091  0.000000 2.33606E-02
  f   9   5.177356  0.757356 -0.020082  0.032009 1.46255E-06
 ne  10   8.742360  0.772360 -0.005077  0.047014 5.70593E-03
 na  11   7.272400  0.962400  0.184963  0.237053 2.20285E-04
 mg  12   8.417392  0.777392 -0.000045  0.052045 3.25187E-03
 al  13   7.248088  0.778088  0.000651  0.052742 2.44460E-04
 si  14   8.327442  0.777442  0.000005  0.052095 3.05476E-03
  p  15   6.247579  0.777579  0.000142  0.052233 2.80299E-05
  s  16   7.937347  0.777347 -0.000090  0.052001 1.42044E-03
 fe  26   8.317437  0.777437  0.000000  0.052091 5.93563E-03
 co  27   5.648424  0.778424  0.000987  0.053077 1.34223E-05
 ni  28   6.973358  0.773358 -0.004079  0.048012 2.82482E-04
#[ls/Fe]_Bisterzo =   0.0000, [hs/Fe]_Bisterzo =   0.0000
#[hs/ls]_Bisterzo =   0.0000, [Pb/hs]_Bisterzo =   0.0000
#[ls/Fe]_Thiswork =   0.0000, [hs/Fe]_Thiswork =   0.0000
#[hs/ls]_Thiswork =   0.0000, [Pb/hs]_Thiswork =   0.0000
# He/H =  0.0000E+00, C/O =  3.6492E-01, c12/c13 = 1.75132E+01
# N/O =  5.2257E-01, n14/n15 = 3.54820E+03
# o16/o17 = 4.92436E+02, o16/o18 = 7.23249E+02
# mg24/mg25 =  8.2590E+00, mg24/mg26 =  6.9075E+00 al26/al27 =  7.7909E-04
# si28/si29 =  1.9694E+01, si28/si30 =  2.9872E+01
# cl36/cl35 =  2.3129E-02, cl37/cl35 =  3.0837E-03
#
#  TP   Mass     Mcore    Menv    log L
#  4 5.983669 0.903768 5.079901 4.436978
# El  Z   log e(X)   [X/H]    [X/Fe]     [X/O]      X(i)
  p   1  12.000000  0.000000  0.000000  0.000000 5.15830E-01
 he   2  11.319972  0.389972 -0.387465 -0.335375 4.27960E-01
 li   3  -1.099590 -4.359591 -5.137028 -5.084937 2.82408E-13
 be   4   3.241998  1.941998  0.000000  0.000000 8.05127E-09
  b   5   0.000000 -2.790000  0.000000  0.000000 1.46603E-25
  c   6   9.017543  0.547543 -0.229895 -0.177804 6.39982E-03
  n   7   9.173487  1.303487  0.526050  0.578140 1.06875E-02
  o   8   9.455346  0.725347 -0.052091  0.000000 2.33607E-02
  f   9   5.177356  0.757356 -0.020081  0.032010 1.46255E-06
 ne  10   8.742359  0.772359 -0.005078  0.047013 5.70593E-03
 na  11   7.272399  0.962399  0.184962  0.237053 2.20285E-04
 mg  12   8.417392  0.777392 -0.000045  0.052045 3.25187E-03
 al  13   7.248087  0.778087  0.000650  0.052741 2.44460E-04
 si  14   8.327442  0.777442  0.000005  0.052095 3.05476E-03
  p  15   6.247579  0.777579  0.000142  0.052233 2.80299E-05
  s  16   7.937347  0.777347 -0.000090  0.052001 1.42044E-03
 fe  26   8.317437  0.777437  0.000000  0.052091 5.93563E-03
 co  27   5.648424  0.778424  0.000987  0.053077 1.34223E-05
 ni  28   6.973358  0.773358 -0.004079  0.048012 2.82482E-04
#[ls/Fe]_Bisterzo =   0.0000, [hs/Fe]_Bisterzo =   0.0000
#[hs/ls]_Bisterzo =   0.0000, [Pb/hs]_Bisterzo =   0.0000
#[ls/Fe]_Thiswork =   0.0000, [hs/Fe]_Thiswork =   0.0000
#[hs/ls]_Thiswork =   0.0000, [Pb/hs]_Thiswork =   0.0000
# He/H =  0.0000E+00, C/O =  3.6492E-01, c12/c13 = 1.75115E+01
# N/O =  5.2257E-01, n14/n15 = 3.55750E+03
# o16/o17 = 4.92437E+02, o16/o18 = 7.23257E+02
# mg24/mg25 =  8.2590E+00, mg24/mg26 =  6.9075E+00 al26/al27 =  7.7737E-04
# si28/si29 =  1.9694E+01, si28/si30 =  2.9872E+01
# cl36/cl35 =  2.3129E-02, cl37/cl35 =  3.0837E-03
#
#  TP   Mass     Mcore    Menv    log L
#  5 5.976352 0.904702 5.071650 4.443467
# El  Z   log e(X)   [X/H]    [X/Fe]     [X/O]      X(i)
  p   1  12.000000  0.000000  0.000000  0.000000 5.15830E-01
 he   2  11.319972  0.389972 -0.387465 -0.335375 4.27960E-01
 li   3  -1.108735 -4.368735 -5.146173 -5.094082 2.76524E-13
 be   4   3.255842  1.955842  0.000000  0.000000 8.31208E-09
  b   5   0.000000 -2.790000  0.000000  0.000000 1.01953E-25
  c   6   9.017544  0.547544 -0.229894 -0.177803 6.39984E-03
  n   7   9.173485  1.303485  0.526048  0.578138 1.06875E-02
  o   8   9.455346  0.725347 -0.052091  0.000000 2.33607E-02
  f   9   5.177356  0.757356 -0.020081  0.032010 1.46255E-06
 ne  10   8.742359  0.772359 -0.005078  0.047013 5.70593E-03
 na  11   7.272398  0.962399  0.184961  0.237052 2.20284E-04
 mg  12   8.417392  0.777392 -0.000045  0.052045 3.25187E-03
 al  13   7.248086  0.778086  0.000649  0.052740 2.44459E-04
 si  14   8.327441  0.777441  0.000004  0.052094 3.05476E-03
  p  15   6.247579  0.777579  0.000142  0.052232 2.80299E-05
  s  16   7.937346  0.777347 -0.000091  0.052000 1.42044E-03
 fe  26   8.317436  0.777436  0.000000  0.052090 5.93563E-03
 co  27   5.648423  0.778423  0.000987  0.053077 1.34223E-05
 ni  28   6.973358  0.773358 -0.004078  0.048012 2.82482E-04
#[ls/Fe]_Bisterzo =   0.0000, [hs/Fe]_Bisterzo =   0.0000
#[hs/ls]_Bisterzo =   0.0000, [Pb/hs]_Bisterzo =   0.0000
#[ls/Fe]_Thiswork =   0.0000, [hs/Fe]_Thiswork =   0.0000
#[hs/ls]_Thiswork =   0.0000, [Pb/hs]_Thiswork =   0.0000
# He/H =  0.0000E+00, C/O =  3.6492E-01, c12/c13 = 1.75080E+01
# N/O =  5.2256E-01, n14/n15 = 3.57733E+03
# o16/o17 = 4.92440E+02, o16/o18 = 7.23275E+02
# mg24/mg25 =  8.2590E+00, mg24/mg26 =  6.9075E+00 al26/al27 =  7.7563E-04
# si28/si29 =  1.9694E+01, si28/si30 =  2.9872E+01
# cl36/cl35 =  2.3129E-02, cl37/cl35 =  3.0837E-03
#
#  TP   Mass     Mcore    Menv    log L
#  6 5.966036 0.905666 5.060370 4.449692
# El  Z   log e(X)   [X/H]    [X/Fe]     [X/O]      X(i)
  p   1  12.000000  0.000000  0.000000  0.000000 5.15834E-01
 he   2  11.319964  0.389964 -0.387472 -0.335382 4.27956E-01
 li   3  -0.439138 -3.699138 -4.476575 -4.424485 1.29221E-12
 be   4   3.287307  1.987307  0.000000  0.000000 8.93671E-09
  b   5   0.000000 -2.790000  0.000000  0.000000 4.34607E-26
  c   6   9.017563  0.547563 -0.229874 -0.177784 6.40017E-03
  n   7   9.173460  1.303460  0.526024  0.578114 1.06870E-02
  o   8   9.455347  0.725348 -0.052089  0.000000 2.33609E-02
  f   9   5.177358  0.757358 -0.020078  0.032011 1.46257E-06
 ne  10   8.742356  0.772357 -0.005080  0.047009 5.70594E-03
 na  11   7.272384  0.962384  0.184948  0.237037 2.20279E-04
 mg  12   8.417388  0.777388 -0.000048  0.052041 3.25187E-03
 al  13   7.248082  0.778082  0.000646  0.052735 2.44459E-04
 si  14   8.327438  0.777438  0.000002  0.052091 3.05476E-03
  p  15   6.247575  0.777575  0.000139  0.052228 2.80299E-05
  s  16   7.937343  0.777343 -0.000093  0.051996 1.42044E-03
 fe  26   8.317433  0.777433  0.000000  0.052086 5.93563E-03
 co  27   5.648420  0.778420  0.000987  0.053072 1.34223E-05
 ni  28   6.973355  0.773355 -0.004078  0.048007 2.82482E-04
#[ls/Fe]_Bisterzo =   0.0000, [hs/Fe]_Bisterzo =   0.0000
#[hs/ls]_Bisterzo =   0.0000, [Pb/hs]_Bisterzo =   0.0000
#[ls/Fe]_Thiswork =   0.0000, [hs/Fe]_Thiswork =   0.0000
#[hs/ls]_Thiswork =   0.0000, [Pb/hs]_Thiswork =   0.0000
# He/H =  0.0000E+00, C/O =  3.6494E-01, c12/c13 = 1.75008E+01
# N/O =  5.2253E-01, n14/n15 = 3.63294E+03
# o16/o17 = 4.92477E+02, o16/o18 = 7.23308E+02
# mg24/mg25 =  8.2590E+00, mg24/mg26 =  6.9075E+00 al26/al27 =  7.7381E-04
# si28/si29 =  1.9694E+01, si28/si30 =  2.9872E+01
# cl36/cl35 =  2.3129E-02, cl37/cl35 =  3.0837E-03
#
#  TP   Mass     Mcore    Menv    log L
#  7 5.951095 0.906653 5.044442 4.455285
# El  Z   log e(X)   [X/H]    [X/Fe]     [X/O]      X(i)
  p   1  12.000000  0.000000  0.000000  0.000000 5.15921E-01
 he   2  11.319804  0.389804 -0.387630 -0.335544 4.27871E-01
 li   3  -0.383983 -3.643983 -4.421416 -4.369330 1.46744E-12
 be   4   3.345051  2.045051  0.000000  0.000000 1.02093E-08
  b   5   0.000000 -2.790000  0.000000  0.000000 1.94605E-24
  c   6   9.017977  0.547976 -0.229457 -0.177371 6.40735E-03
  n   7   9.172895  1.302896  0.525462  0.577548 1.06749E-02
  o   8   9.455353  0.725353 -0.052080  0.000000 2.33651E-02
  f   9   5.177391  0.757390 -0.020043  0.032037 1.46292E-06
 ne  10   8.742291  0.772292 -0.005142  0.046938 5.70605E-03
 na  11   7.272068  0.962068  0.184634  0.236714 2.20155E-04
 mg  12   8.417315  0.777316 -0.000118  0.051962 3.25187E-03
 al  13   7.248007  0.778007  0.000574  0.052654 2.44458E-04
 si  14   8.327365  0.777365 -0.000069  0.052011 3.05476E-03
  p  15   6.247502  0.777502  0.000069  0.052149 2.80299E-05
  s  16   7.937270  0.777270 -0.000163  0.051917 1.42044E-03
 fe  26   8.317360  0.777360  0.000000  0.052007 5.93563E-03
 co  27   5.648345  0.778345  0.000985  0.052992 1.34223E-05
 ni  28   6.973282  0.773282 -0.004078  0.047929 2.82482E-04
#[ls/Fe]_Bisterzo =   0.0000, [hs/Fe]_Bisterzo =   0.0000
#[hs/ls]_Bisterzo =   0.0000, [Pb/hs]_Bisterzo =   0.0000
#[ls/Fe]_Thiswork =   0.0000, [hs/Fe]_Thiswork =   0.0000
#[hs/ls]_Thiswork =   0.0000, [Pb/hs]_Thiswork =   0.0000
# He/H =  0.0000E+00, C/O =  3.6528E-01, c12/c13 = 1.75218E+01
# N/O =  5.2185E-01, n14/n15 = 3.75195E+03
# o16/o17 = 4.93206E+02, o16/o18 = 7.22877E+02
# mg24/mg25 =  8.2584E+00, mg24/mg26 =  6.9079E+00 al26/al27 =  7.7082E-04
# si28/si29 =  1.9694E+01, si28/si30 =  2.9872E+01
# cl36/cl35 =  2.3129E-02, cl37/cl35 =  3.0837E-03
#
#  TP   Mass     Mcore    Menv    log L
#  8 5.929575 0.907657 5.021918 4.461021
# El  Z   log e(X)   [X/H]    [X/Fe]     [X/O]      X(i)
  p   1  12.000000  0.000000  0.000000  0.000000 5.15921E-01
 he   2  11.319804  0.389804 -0.387556 -0.335549 4.27871E-01
 li   3  -0.987943 -4.247943 -5.025303 -4.973296 3.65259E-13
 be   4   3.451273  2.151273  0.000000  0.000000 1.30382E-08
  b   5   0.000000 -2.790000  0.000000  0.000000 1.79796E-24
  c   6   9.017975  0.547975 -0.229385 -0.177379 6.40733E-03
  n   7   9.172897  1.302897  0.525537  0.577544 1.06749E-02
  o   8   9.455352  0.725352 -0.052008  0.000000 2.33651E-02
  f   9   5.177392  0.757392 -0.019968  0.032040 1.46293E-06
 ne  10   8.742291  0.772292 -0.005068  0.046939 5.70605E-03
 na  11   7.272068  0.962068  0.184708  0.236715 2.20155E-04
 mg  12   8.417315  0.777316 -0.000044  0.051963 3.25187E-03
 al  13   7.248006  0.778007  0.000647  0.052654 2.44457E-04
 si  14   8.327365  0.777365  0.000005  0.052012 3.05476E-03
