# Initial abundances
# El  Z   log e(X)   [X/H]    [X/Fe]     [X/O]      X(i)
  p   1  12.000000  0.000000  0.000000  0.000000 5.38144E-01
 he   2  11.268094  0.338094 -0.487883 -0.482009 3.96203E-01
 li   3   4.085371  0.825372 -0.000605  0.005269 4.51058E-08
 be   4   0.000000 -1.300000  0.000000  0.000000 0.00000E+00
  b   5   0.000000 -2.790000  0.000000  0.000000 0.00000E+00
  c   6   9.295969  0.825969 -0.000008  0.005866 1.26761E-02
  n   7   8.695980  0.825980  0.000004  0.005877 3.71333E-03
  o   8   9.550102  0.820103 -0.005874  0.000000 3.03133E-02
  f   9   5.285970  0.865970  0.039993  0.045867 1.95937E-06
 ne  10   8.795975  0.825975 -0.000001  0.005872 6.73495E-03
 na  11   7.135990  0.825990  0.000013  0.005887 1.67868E-04
 mg  12   8.465973  0.825973 -0.000003  0.005870 3.79408E-03
 al  13   7.295979  0.825979  0.000002  0.005876 2.84768E-04
 si  14   8.375979  0.825979  0.000003  0.005877 3.56375E-03
  p  15   6.295979  0.825979  0.000002  0.005876 3.26900E-05
  s  16   7.985890  0.825891 -0.000086  0.005788 1.65714E-03
 fe  26   8.365976  0.825976  0.000000  0.005874 6.92467E-03
 co  27   5.695975  0.825975 -0.000001  0.005872 1.56233E-05
 ni  28   7.021941  0.821941 -0.004035  0.001839 3.29584E-04
#[ls/Fe]_Bisterzo =   0.0000, [hs/Fe]_Bisterzo =   0.0000
#[hs/ls]_Bisterzo =   0.0000, [Pb/hs]_Bisterzo =   0.0000
#[ls/Fe]_Thiswork =   0.0000, [hs/Fe]_Thiswork =   0.0000
#[hs/ls]_Thiswork =   0.0000, [Pb/hs]_Thiswork =   0.0000
# He/H =  0.0000E+00, C/O =  5.5702E-01, c12/c13 = 8.93984E+01
# N/O =  1.3992E-01, n14/n15 = 4.34989E+02
# o16/o17 = 2.63212E+03, o16/o18 = 5.00000E+02
# mg24/mg25 =  7.8990E+00, mg24/mg26 =  7.1744E+00 al26/al27 =  0.0000E+00
# si28/si29 =  1.9693E+01, si28/si30 =  2.9875E+01
# cl36/cl35 =  2.3094E-02, cl37/cl35 =  3.0735E-03
#
# During TP-AGB
#  TP   Mass     Mcore    Menv    log L
#  1 3.298778 0.772244 2.526534 4.196412
# El  Z   log e(X)   [X/H]    [X/Fe]     [X/O]      X(i)
  p   1  12.000000  0.000000  0.000000  0.000000 5.31802E-01
 he   2  11.279380  0.349380 -0.476597 -0.470723 4.01842E-01
 li   3   3.335211  0.075211 -0.750766 -0.744892 7.92359E-09
 be   4  -1.741435 -3.041435  0.000000  0.000000 8.62335E-14
  b   5   0.000000 -2.790000  0.000000  0.000000 6.25811E-29
  c   6   9.126522  0.656522 -0.169455 -0.163581 8.47989E-03
  n   7   9.084458  1.214458  0.388482  0.394356 8.97621E-03
  o   8   9.549170  0.819170 -0.006806  0.000000 2.98918E-02
  f   9   5.276902  0.856902  0.030925  0.037732 1.89626E-06
 ne  10   8.799074  0.829074  0.003098  0.009904 6.70325E-03
 na  11   7.225836  0.915836  0.089860  0.096666 2.04016E-04
 mg  12   8.471123  0.831123  0.005147  0.011953 3.79409E-03
 al  13   7.301142  0.831142  0.005166  0.011972 2.84777E-04
 si  14   8.381130  0.831130  0.005154  0.011960 3.56377E-03
  p  15   6.301129  0.831130  0.005153  0.011960 3.26901E-05
  s  16   7.991041  0.831041  0.005065  0.011871 1.65715E-03
 fe  26   8.371127  0.831127  0.000000  0.011957 6.92470E-03
 co  27   5.701126  0.831126 -0.000001  0.011956 1.56233E-05
 ni  28   7.027092  0.827093 -0.004035  0.007923 3.29586E-04
#[ls/Fe]_Bisterzo =   0.0000, [hs/Fe]_Bisterzo =   0.0000
#[hs/ls]_Bisterzo =   0.0000, [Pb/hs]_Bisterzo =   0.0000
#[ls/Fe]_Thiswork =   0.0000, [hs/Fe]_Thiswork =   0.0000
#[hs/ls]_Thiswork =   0.0000, [Pb/hs]_Thiswork =   0.0000
# He/H =  0.0000E+00, C/O =  3.7788E-01, c12/c13 = 2.00421E+01
# N/O =  3.4300E-01, n14/n15 = 2.13519E+03
# o16/o17 = 4.85130E+02, o16/o18 = 6.74924E+02
# mg24/mg25 =  7.9113E+00, mg24/mg26 =  7.1644E+00 al26/al27 =  3.6708E-06
# si28/si29 =  1.9693E+01, si28/si30 =  2.9875E+01
