   Initial Compositions (Mass Fractions) 
Species    Z=0.02      Z=0.008     Z=0.004  
      p    7.050E-01   7.331E-01   7.426E-01
    he3    0.000E+00   0.000E+00   0.000E+00
    he4    2.750E-01   2.586E-01   2.533E-01
    li7    1.071E-08   4.282E-09   2.141E-09
    c12    3.419E-03   1.422E-03   7.202E-04
    c13    4.107E-05   1.643E-05   8.212E-06
    n14    1.049E-03   4.364E-04   2.210E-04
    n15    4.148E-06   1.659E-06   8.292E-07
    o16    9.524E-03   3.962E-03   2.006E-03
    o17    3.876E-06   1.550E-06   7.751E-07
    o18    2.160E-05   8.638E-06   4.319E-06
    f19    5.584E-07   2.232E-07   1.116E-07
   ne20    1.810E-03   7.237E-04   3.619E-04
   ne21    4.618E-06   1.847E-06   9.235E-07
   ne22    1.454E-04   5.813E-05   2.906E-05
   na23    3.979E-05   1.592E-05   7.959E-06
   mg24    5.835E-04   2.333E-04   1.166E-04
   mg25    7.693E-05   3.077E-05   1.538E-05
   mg26    8.809E-05   3.522E-05   1.762E-05
   al26    0.000E+00   0.000E+00   0.000E+00
   al27    6.451E-05   2.579E-05   1.290E-05
   si28    7.418E-04   2.965E-04   1.483E-04
   si29    3.889E-05   1.556E-05   7.777E-06
   si30    2.671E-05   1.068E-05   5.339E-06
    p31    7.071E-06   2.828E-06   1.414E-06
    s32    5.261E-04   2.104E-04   1.052E-04
    s33    4.284E-06   1.713E-06   8.562E-07
    s34    2.142E-04   8.566E-05   4.283E-05
   fe54    8.019E-05   3.206E-05   1.603E-05
   fe56    1.314E-03   5.257E-04   2.629E-04
   fe57    3.210E-05   1.283E-05   6.417E-06
   fe58    4.156E-06   1.663E-06   8.310E-07
   fe60    0.000E+00   0.000E+00   0.000E+00
   co59    3.972E-06   1.589E-06   7.940E-07
   ni58    5.699E-05   2.279E-05   1.140E-05
   ni60    2.254E-05   9.016E-06   4.507E-06
   ni61    9.919E-07   3.968E-07   1.984E-07
   ni62    3.204E-06   1.281E-06   6.404E-07
      g    5.822E-08   2.329E-08   1.164E-08
