 Initial Compositions (Mass Fractions)
Species    Z=0.001     Z=10^{-4} 
      p    7.498E-01   7.519E-01
    he3    0.000E+00   0.000E+00
    he4    2.492E-01   2.480E-01
    li7    1.050E-09   1.050E-09
    c12    1.818E-04   1.823E-05
    c13    2.053E-06   2.053E-07
    n14    5.579E-05   5.595E-06
    n15    2.073E-07   2.073E-08
    o16    5.064E-04   5.079E-05
    o17    1.938E-07   1.938E-08
    o18    1.080E-06   1.080E-07
    f19    2.791E-08   2.791E-09
   ne20    9.048E-05   9.048E-06
   ne21    2.310E-07   2.310E-08
   ne22    7.268E-06   7.269E-07
   na23    1.990E-06   1.990E-07
   mg24    2.916E-05   2.916E-06
   mg25    3.847E-06   3.847E-07
   mg26    4.404E-06   4.404E-07
   al26    0.000E+00   0.000E+00
   al27    3.224E-06   3.224E-07
   si28    3.707E-05   3.707E-06
   si29    1.945E-06   1.945E-07
   si30    1.335E-06   1.335E-07
    p31    3.537E-07   3.537E-08
    s32    2.631E-05   2.631E-06
    s33    2.141E-07   2.141E-08
    s34    1.071E-05   1.071E-06
    s35    0.000E+00   0.000E+00
   fe54    4.008E-06   4.008E-07
   fe55    0.000E+00   0.000E+00
   fe56    6.574E-05   6.574E-06
   fe57    1.604E-06   1.605E-07
   fe58    2.078E-07   2.078E-08
   fe60    0.000E+00   0.000E+00
   co59    1.986E-07   1.986E-08
   ni58    2.849E-06   2.850E-07
   ni59    0.000E+00   0.000E+00
   ni60    1.127E-06   1.127E-07
   ni61    4.960E-08   4.960E-09
   ni62    1.601E-07   1.601E-08
      g    2.911E-09   2.911E-10
