                          6.5M Z=0.001 B95
 Species   Yield       MassExp     ProdFact    E-Yield   E-MassExp  E-ProdFact
      p   -5.558E-01  3.525E+00  -6.361E-02  -5.564E-01  3.524E+00  -6.369E-02
    he3    1.034E-06  1.034E-06   0.000E+00   1.034E-06  1.034E-06   0.000E+00
    he4    5.487E-01  1.905E+00   1.475E-01   5.490E-01  1.905E+00   1.476E-01
    li7   -4.108E-09  1.606E-09  -5.512E-01  -4.108E-09  1.606E-09  -5.512E-01
    c12   -7.647E-05  9.130E-04  -3.496E-02   2.167E-04  1.206E-03   8.597E-02
    c13    1.535E-04  1.647E-04   1.169E+00   1.534E-04  1.646E-04   1.168E+00
    n14    8.553E-03  8.857E-03   1.465E+00   8.551E-03  8.854E-03   1.465E+00
    n15   -7.398E-07  3.884E-07  -4.632E-01  -7.399E-07  3.883E-07  -4.632E-01
    o16   -1.570E-03  1.186E-03  -3.661E-01  -1.559E-03  1.197E-03  -3.623E-01
    o17    5.465E-06  6.520E-06   7.911E-01   5.465E-06  6.519E-06   7.910E-01
    o18   -5.780E-06  9.788E-08  -1.779E+00  -5.780E-06  9.789E-08  -1.779E+00
    f19   -1.254E-07  2.647E-08  -7.589E-01  -1.205E-07  3.138E-08  -6.850E-01
   ne20    7.707E-06  5.001E-04   6.718E-03   7.928E-06  5.004E-04   6.911E-03
   ne21   -1.210E-06  4.688E-08  -1.428E+00  -1.198E-06  5.886E-08  -1.330E+00
   ne22    3.834E-05  7.790E-05   2.943E-01   4.061E-05  8.017E-05   3.067E-01
   na23   -3.346E-06  7.485E-06  -1.605E-01  -3.296E-06  7.534E-06  -1.576E-01
   mg24   -1.512E-04  7.507E-06  -1.325E+00  -1.512E-04  7.535E-06  -1.324E+00
   mg25    1.433E-04  1.642E-04   8.944E-01   1.439E-04  1.649E-04   8.961E-01
   mg26    1.312E-05  3.710E-05   1.896E-01   1.525E-05  3.922E-05   2.138E-01
   al26    1.120E-05  1.120E-05   0.000E+00   1.120E-05  1.120E-05   0.000E+00
   al27    8.652E-06  2.620E-05   1.741E-01   8.677E-06  2.622E-05   1.745E-01
   si28    3.903E-06  2.057E-04   8.295E-03   3.944E-06  2.057E-04   8.381E-03
   si29    1.847E-07  1.077E-05   7.485E-03   1.981E-07  1.078E-05   8.029E-03
   si30    3.302E-07  7.598E-06   1.927E-02   3.620E-07  7.629E-06   2.108E-02
