#			    7.0M Z=0.004 VW93
#Species    Yield      MassExp     ProdFact    E-Yield    E-MassExp  E-ProdFact 
      p   -5.843E-01  3.824E+00  -6.177E-02  -5.896E-01  3.818E+00  -6.239E-02
    he3    3.671E-06  3.671E-06   0.000E+00   3.671E-06  3.671E-06   0.000E+00
    he4    5.695E-01  2.073E+00   1.395E-01   5.719E-01  2.075E+00   1.400E-01
    li7   -1.218E-08  5.333E-10  -1.377E+00  -1.217E-08  5.333E-10  -1.377E+00
    c12   -8.867E-04  3.389E-03  -1.010E-01   1.847E-03  6.123E-03   1.560E-01
    c13    3.527E-04  4.014E-04   9.156E-01   3.528E-04  4.015E-04   9.158E-01
    n14    1.984E-02  2.116E-02   1.207E+00   1.980E-02  2.111E-02   1.207E+00
    n15   -4.040E-06  8.829E-07  -7.463E-01  -4.040E-06  8.817E-07  -7.468E-01
    o16   -4.933E-03  6.978E-03  -2.322E-01  -4.812E-03  7.097E-03  -2.248E-01
    o17    2.938E-05  3.398E-05   8.683E-01   2.934E-05  3.394E-05   8.679E-01
    o18   -2.513E-05  5.176E-07  -1.695E+00  -2.512E-05  5.177E-07  -1.695E+00
    f19   -5.165E-07  1.463E-07  -6.562E-01  -4.325E-07  2.302E-07  -4.591E-01
   ne20    2.323E-05  2.172E-03   4.645E-03   2.856E-05  2.177E-03   5.709E-03
   ne21   -5.098E-06  3.841E-07  -1.154E+00  -4.795E-06  6.862E-07  -9.025E-01
   ne22    1.747E-04  3.472E-04   3.038E-01   2.015E-04  3.740E-04   3.361E-01
   na23    7.510E-06  5.476E-05   6.404E-02   8.316E-06  5.556E-05   7.039E-02
   mg24   -5.961E-04  9.642E-05  -8.563E-01  -5.950E-04  9.740E-05  -8.518E-01
   mg25    6.227E-04  7.140E-04   8.931E-01   6.431E-04  7.344E-04   9.054E-01
   mg26    1.279E-04  2.325E-04   3.470E-01   1.935E-04  2.981E-04   4.549E-01
   al26    2.493E-05  2.493E-05   0.000E+00   2.488E-05  2.488E-05   0.000E+00
   al27    1.096E-05  8.752E-05   5.808E-02   1.193E-05  8.848E-05   6.290E-02
   si28    1.020E-05  8.906E-04   4.978E-03   1.179E-05  8.920E-04   5.751E-03
   si29    1.717E-06  4.788E-05   1.583E-02   2.242E-06  4.840E-05   2.058E-02
   si30    3.219E-06  3.492E-05   4.198E-02   4.363E-06  3.605E-05   5.599E-02
    p31    7.106E-07  9.105E-06   3.526E-02   1.020E-06  9.413E-06   4.979E-02
    s32   -1.826E-06  6.227E-04  -1.298E-03  -2.337E-06  6.221E-04  -1.654E-03
    s33    3.068E-08  5.114E-06   2.588E-03   3.442E-08  5.117E-06   2.905E-03
    s34   -1.498E-06  2.528E-04  -2.591E-03  -1.821E-06  2.524E-04  -3.147E-03
    s35    1.656E-06  1.656E-06   0.000E+00   2.029E-06  2.029E-06   0.000E+00
   fe54   -9.730E-07  9.419E-05  -4.489E-03  -1.108E-06  9.404E-05  -5.110E-03
   fe55    3.170E-07  3.170E-07   0.000E+00   3.165E-07  3.165E-07   0.000E+00
   fe56   -9.526E-06  1.551E-03  -2.685E-03  -1.167E-05  1.549E-03  -3.285E-03
   fe57    8.467E-07  3.894E-05   9.521E-03   8.201E-07  3.891E-05   9.225E-03
   fe58    2.974E-06  7.908E-06   2.049E-01   3.270E-06  8.203E-06   2.209E-01
   fe60    2.386E-06  2.386E-06   0.000E+00   3.190E-06  3.190E-06   0.000E+00
   co59    1.264E-06  5.978E-06   1.032E-01   1.441E-06  6.154E-06   1.158E-01
   ni58   -5.783E-07  6.707E-05  -3.754E-03  -6.741E-07  6.696E-05  -4.376E-03
   ni60    2.527E-07  2.701E-05   4.056E-03   2.311E-07  2.698E-05   3.710E-03
   ni61    7.438E-06  8.615E-06   8.642E-01   8.714E-06  9.891E-06   9.242E-01
   ni62   -3.777E-06  2.441E-08  -2.192E+00  -3.777E-06  2.441E-08  -2.192E+00
      g    4.501E-07  5.192E-07   8.759E-01   6.629E-07  7.320E-07   1.025E+00
