#                            7.0M Z=0.008 VW93
#Species    Yield      MassExp     ProdFact    E-Yield    E-MassExp  E-ProdFact 
      p   -5.298E-01  3.870E+00  -5.575E-02  -5.364E-01  3.863E+00  -5.649E-02
    he3    4.827E-06  4.827E-06   0.000E+00   4.827E-06  4.827E-06   0.000E+00
    he4    5.096E-01  2.062E+00   1.233E-01   5.128E-01  2.065E+00   1.240E-01
    li7   -2.510E-08  5.966E-10  -1.634E+00  -2.510E-08  5.966E-10  -1.634E+00
    c12   -3.712E-03  4.822E-03  -2.480E-01  -5.495E-04  7.985E-03  -2.893E-02
    c13    4.587E-04  5.573E-04   7.522E-01   4.570E-04  5.556E-04   7.509E-01
    n14    3.028E-02  3.290E-02   1.099E+00   3.021E-02  3.283E-02   1.098E+00
    n15   -8.888E-06  1.066E-06  -9.703E-01  -8.889E-06  1.065E-06  -9.707E-01
    o16   -7.595E-03  1.618E-02  -1.672E-01  -7.502E-03  1.627E-02  -1.647E-01
    o17    4.897E-05  5.827E-05   7.968E-01   4.890E-05  5.820E-05   7.963E-01
    o18   -5.051E-05  1.328E-06  -1.592E+00  -5.051E-05  1.328E-06  -1.592E+00
    f19   -8.383E-07  5.011E-07  -4.270E-01  -5.950E-07  7.445E-07  -2.551E-01
   ne20    2.668E-06  4.345E-03   2.413E-04   5.976E-06  4.349E-03   5.718E-04
   ne21   -1.024E-05  8.442E-07  -1.118E+00  -9.838E-06  1.246E-06  -9.492E-01
   ne22    4.251E-04  7.740E-04   3.461E-01   5.023E-04  8.512E-04   3.873E-01
   na23    5.816E-05  1.537E-04   2.065E-01   5.933E-05  1.548E-04   2.098E-01
   mg24   -4.514E-04  9.486E-04  -1.691E-01  -4.519E-04  9.481E-04  -1.693E-01
   mg25    5.086E-04  6.933E-04   5.745E-01   5.391E-04  7.237E-04   5.932E-01
   mg26    2.049E-04  4.162E-04   2.943E-01   2.837E-04  4.951E-04   3.696E-01
   al26    1.510E-05  1.510E-05   0.000E+00   1.507E-05  1.507E-05   0.000E+00
   al27    9.430E-06  1.642E-04   2.566E-02   1.124E-05  1.660E-04   3.042E-02
   si28    1.983E-05  1.799E-03   4.789E-03   2.226E-05  1.801E-03   5.375E-03
   si29    3.799E-06  9.715E-05   1.730E-02   4.597E-06  9.795E-05   2.085E-02
   si30    6.273E-06  7.037E-05   4.053E-02   7.960E-06  7.206E-05   5.082E-02
    p31    1.130E-06  1.810E-05   2.796E-02   1.520E-06  1.849E-05   3.722E-02
    s32   -4.186E-06  1.259E-03  -1.468E-03  -5.226E-06  1.258E-03  -1.826E-03
    s33    9.646E-08  1.037E-05   4.031E-03   1.052E-07  1.038E-05   4.398E-03
    s34   -3.632E-06  5.104E-04  -3.104E-03  -4.357E-06  5.097E-04  -3.722E-03
    s35    3.979E-06  3.979E-06   0.000E+00   4.792E-06  4.792E-06   0.000E+00
   fe54   -2.344E-06  1.900E-04  -5.349E-03  -2.669E-06  1.897E-04  -6.093E-03
   fe55    5.263E-07  5.263E-07   0.000E+00   5.259E-07  5.259E-07   0.000E+00
   fe56   -2.395E-05  3.131E-03  -3.335E-03  -2.884E-05  3.126E-03  -4.014E-03
   fe57    2.745E-06  7.976E-05   1.518E-02   2.787E-06  7.980E-05   1.541E-02
   fe58    1.011E-05  2.009E-05   3.039E-01   1.138E-05  2.135E-05   3.304E-01
   fe60    4.285E-06  4.285E-06   0.000E+00   5.821E-06  5.821E-06   0.000E+00
   co59    3.734E-06  1.327E-05   1.435E-01   4.366E-06  1.390E-05   1.637E-01
   ni58   -1.512E-06  1.352E-04  -4.854E-03  -1.744E-06  1.350E-04  -5.600E-03
   ni60    8.751E-07  5.498E-05   6.943E-03   8.615E-07  5.497E-05   6.835E-03
   ni61    1.461E-05  1.699E-05   8.535E-01   1.682E-05  1.920E-05   9.066E-01
   ni62   -7.630E-06  5.893E-08  -2.116E+00  -7.630E-06  5.893E-08  -2.116E+00
      g    6.956E-07  8.353E-07   7.765E-01   9.708E-07  1.111E-06   9.002E-01
