#                            7.0M Z=0.02 VW93
#Species    Yield      MassExp     ProdFact    E-Yield    E-MassExp  E-ProdFact  
      p   -4.832E-01  3.770E+00  -5.240E-02  -4.927E-01  3.760E+00  -5.350E-02
    he3    1.589E-05  1.589E-05   0.000E+00   1.587E-05  1.587E-05   0.000E+00
    he4    4.687E-01  2.128E+00   1.080E-01   4.736E-01  2.133E+00   1.090E-01
    li7   -6.037E-09  5.857E-08  -4.263E-02  -6.088E-09  5.852E-08  -4.301E-02
    c12   -1.386E-02  6.763E-03  -4.843E-01  -9.659E-03  1.096E-02  -2.744E-01
    c13    5.506E-04  7.983E-04   5.082E-01   5.482E-04  7.960E-04   5.069E-01
    n14    3.668E-02  4.301E-02   8.322E-01   3.657E-02  4.289E-02   8.311E-01
    n15   -2.382E-05  1.195E-06  -1.321E+00  -2.383E-05  1.193E-06  -1.322E+00
    o16   -9.816E-03  4.764E-02  -8.139E-02  -9.804E-03  4.765E-02  -8.128E-02
    o17    1.011E-04  1.245E-04   7.264E-01   1.009E-04  1.242E-04   7.253E-01
    o18   -1.278E-04  2.485E-06  -1.720E+00  -1.278E-04  2.485E-06  -1.720E+00
    f19   -1.336E-06  2.033E-06  -2.193E-01  -6.369E-07  2.732E-06  -9.103E-02
   ne20   -2.514E-05  1.089E-02  -1.027E-03  -2.329E-05  1.089E-02  -9.528E-04
   ne21   -2.559E-05  2.269E-06  -1.089E+00  -2.480E-05  3.060E-06  -9.592E-01
   ne22    5.736E-04  1.450E-03   2.186E-01   8.024E-04  1.679E-03   2.822E-01
   na23    1.995E-04  4.395E-04   2.627E-01   2.016E-04  4.416E-04   2.648E-01
   mg24   -4.026E-05  3.479E-03  -5.022E-03  -4.708E-05  3.472E-03  -5.874E-03
   mg25    5.454E-05  5.186E-04   4.823E-02   1.168E-04  5.809E-04   9.750E-02
   mg26    2.058E-04  7.372E-04   1.421E-01   3.304E-04  8.618E-04   2.100E-01
   al26    3.064E-06  3.064E-06   0.000E+00   3.056E-06  3.056E-06   0.000E+00
   al27    1.799E-05  4.071E-04   1.960E-02   2.391E-05  4.130E-04   2.587E-02
   si28    1.338E-05  4.488E-03   1.271E-03   1.714E-05  4.492E-03   1.635E-03
   si29    2.862E-06  2.375E-04   5.241E-03   4.392E-06  2.390E-04   8.030E-03
   si30    5.693E-06  1.668E-04   1.506E-02   9.183E-06  1.703E-04   2.405E-02
    p31    8.879E-07  4.354E-05   8.921E-03   1.497E-06  4.415E-05   1.496E-02
    s32   -4.810E-06  3.169E-03  -6.841E-04  -7.587E-06  3.166E-03  -1.065E-03
    s33    1.970E-07  2.604E-05   3.274E-03   2.464E-07  2.609E-05   4.096E-03
    s34   -4.791E-06  1.287E-03  -1.639E-03  -7.020E-06  1.285E-03  -2.391E-03
    s35    5.194E-06  5.194E-06   0.000E+00   7.646E-06  7.646E-06   0.000E+00
   fe54   -3.794E-06  4.799E-04  -3.445E-03  -4.980E-06  4.788E-04  -4.519E-03
   fe55    1.175E-06  1.175E-06   0.000E+00   1.190E-06  1.190E-06   0.000E+00
   fe56   -3.125E-05  7.897E-03  -1.741E-03  -4.669E-05  7.882E-03  -2.591E-03
   fe57    6.703E-06  2.003E-04   1.475E-02   7.779E-06  2.014E-04   1.708E-02
   fe58    1.582E-05  4.089E-05   2.124E-01   2.253E-05  4.760E-05   2.784E-01
   fe60    2.817E-06  2.817E-06   0.000E+00   5.753E-06  5.753E-06   0.000E+00
   co59    4.686E-06  2.865E-05   7.756E-02   7.261E-06  3.122E-05   1.149E-01
   ni58   -2.402E-06  3.414E-04  -3.070E-03  -3.256E-06  3.405E-04  -4.158E-03
   ni60    1.029E-06  1.370E-04   3.250E-03   1.198E-06  1.371E-04   3.786E-03
   ni61    2.578E-05  3.176E-05   7.250E-01   3.039E-05  3.638E-05   7.839E-01
   ni62   -1.920E-05  1.292E-07  -2.175E+00  -1.920E-05  1.292E-07  -2.175E+00
      g    7.244E-07  1.076E-06   4.861E-01   1.111E-06  1.462E-06   6.193E-01
