#		            7.5M Z=0.004 VW93 
#Species    Yield      MassExp     ProdFact    E-Yield    E-MassExp  E-ProdFact 
      p   -6.247E-01  4.085E+00  -6.182E-02  -6.309E-01  4.079E+00  -6.248E-02
    he3    6.000E-06  6.000E-06   0.000E+00   6.000E-06  6.000E-06   0.000E+00
    he4    6.119E-01  2.218E+00   1.401E-01   6.145E-01  2.221E+00   1.407E-01
    li7    1.249E-08  2.607E-08   2.832E-01   1.249E-08  2.607E-08   2.832E-01
    c12   -1.164E-03  3.404E-03  -1.278E-01   2.076E-03  6.645E-03   1.627E-01
    c13    3.758E-04  4.279E-04   9.146E-01   3.742E-04  4.263E-04   9.130E-01
    n14    1.777E-02  1.918E-02   1.136E+00   1.773E-02  1.913E-02   1.135E+00
    n15   -3.940E-06  1.319E-06  -6.006E-01  -3.941E-06  1.319E-06  -6.009E-01
    o16   -4.503E-03  8.223E-03  -1.897E-01  -4.329E-03  8.396E-03  -1.806E-01
    o17    4.393E-05  4.885E-05   9.972E-01   4.388E-05  4.880E-05   9.967E-01
    o18   -2.682E-05  5.752E-07  -1.678E+00  -2.682E-05  5.752E-07  -1.678E+00
    f19   -6.282E-07  7.989E-08  -9.477E-01  -5.895E-07  1.186E-07  -7.759E-01
   ne20    3.798E-05  2.334E-03   7.100E-03   4.869E-05  2.344E-03   9.090E-03
   ne21   -5.439E-06  4.180E-07  -1.147E+00  -5.055E-06  8.018E-07  -8.636E-01
   ne22    1.442E-04  3.285E-04   2.509E-01   1.537E-04  3.380E-04   2.633E-01
   na23    3.455E-06  5.394E-05   2.873E-02   4.380E-06  5.486E-05   3.611E-02
   mg24   -6.531E-04  8.672E-05  -9.311E-01  -6.504E-04  8.944E-05  -9.177E-01
   mg25    6.887E-04  7.862E-04   9.062E-01   7.163E-04  8.139E-04   9.212E-01
   mg26    1.381E-04  2.499E-04   3.495E-01   2.274E-04  3.391E-04   4.821E-01
   al26    1.995E-05  1.995E-05   0.000E+00   1.991E-05  1.991E-05   0.000E+00
   al27    1.140E-05  9.320E-05   5.665E-02   1.274E-05  9.453E-05   6.283E-02
   si28    1.113E-05  9.517E-04   5.081E-03   1.293E-05  9.535E-04   5.905E-03
   si29    1.548E-06  5.087E-05   1.340E-02   2.235E-06  5.156E-05   1.922E-02
   si30    3.207E-06  3.707E-05   3.926E-02   4.809E-06  3.867E-05   5.765E-02
    p31    7.646E-07  9.733E-06   3.551E-02   1.203E-06  1.017E-05   5.462E-02
    s32   -1.662E-06  6.656E-04  -1.109E-03  -2.311E-06  6.649E-04  -1.533E-03
    s33    2.603E-08  5.457E-06   2.051E-03   3.494E-08  5.466E-06   2.759E-03
    s34   -1.295E-06  2.704E-04  -2.101E-03  -1.672E-06  2.700E-04  -2.707E-03
    s35    1.446E-06  1.446E-06   0.000E+00   1.893E-06  1.893E-06   0.000E+00
   fe54   -8.668E-07  1.008E-04  -3.744E-03  -1.020E-06  1.007E-04  -4.403E-03
   fe55    3.566E-07  3.566E-07   0.000E+00   3.561E-07  3.561E-07   0.000E+00
   fe56   -7.993E-06  1.659E-03  -2.113E-03  -1.047E-05  1.657E-03  -2.763E-03
   fe57    6.285E-07  4.133E-05   6.629E-03   5.793E-07  4.128E-05   6.112E-03
   fe58    1.859E-06  7.129E-06   1.311E-01   2.038E-06  7.309E-06   1.420E-01
   fe60    2.438E-06  2.438E-06   0.000E+00   3.424E-06  3.424E-06   0.000E+00
   co59    9.190E-07  5.955E-06   7.276E-02   1.048E-06  6.084E-06   8.206E-02
   ni58   -4.816E-07  7.180E-05  -2.929E-03  -5.904E-07  7.169E-05  -3.588E-03
   ni60    1.162E-07  2.870E-05   1.736E-03   9.163E-08  2.868E-05   1.364E-03
   ni61    7.625E-06  8.884E-06   8.487E-01   9.348E-06  1.061E-05   9.257E-01
   ni62   -4.036E-06  2.605E-08  -2.193E+00  -4.036E-06  2.605E-08  -2.193E+00
      g    5.036E-07  5.774E-07   8.933E-01   7.951E-07  8.689E-07   1.071E+00
