#			    7.5M Z=0.008 VW93 
#Species    Yield      MassExp     ProdFact    E-Yield    E-MassExp  E-ProdFact 
      p   -5.790E-01  4.144E+00  -5.681E-02  -5.867E-01  4.137E+00  -5.763E-02
    he3    5.558E-06  5.558E-06   0.000E+00   5.558E-06  5.558E-06   0.000E+00
    he4    5.635E-01  2.230E+00   1.265E-01   5.675E-01  2.234E+00   1.273E-01
    li7   -1.990E-08  7.687E-09  -5.550E-01  -1.990E-08  7.687E-09  -5.550E-01
    c12   -4.490E-03  4.673E-03  -2.925E-01  -1.030E-03  8.132E-03  -5.184E-02
    c13    5.014E-04  6.072E-04   7.587E-01   4.989E-04  6.048E-04   7.569E-01
    n14    2.588E-02  2.870E-02   1.009E+00   2.581E-02  2.863E-02   1.008E+00
    n15   -9.539E-06  1.147E-06  -9.692E-01  -9.540E-06  1.146E-06  -9.697E-01
    o16   -7.126E-03  1.840E-02  -1.422E-01  -7.034E-03  1.849E-02  -1.400E-01
    o17    7.111E-05  8.110E-05   9.096E-01   7.100E-05  8.098E-05   9.090E-01
    o18   -5.418E-05  1.475E-06  -1.577E+00  -5.418E-05  1.475E-06  -1.577E+00
    f19   -1.136E-06  3.019E-07  -6.779E-01  -9.912E-07  4.468E-07  -5.077E-01
   ne20    5.876E-06  4.668E-03   5.217E-04   9.592E-06  4.672E-03   8.672E-04
   ne21   -1.100E-05  9.010E-07  -1.121E+00  -1.044E-05  1.455E-06  -9.126E-01
   ne22    2.632E-04  6.378E-04   2.312E-01   3.178E-04  6.924E-04   2.668E-01
   na23    6.742E-05  1.700E-04   2.194E-01   6.887E-05  1.714E-04   2.231E-01
   mg24   -5.984E-04  9.045E-04  -2.206E-01  -5.981E-04  9.049E-04  -2.204E-01
   mg25    6.562E-04  8.544E-04   6.345E-01   6.984E-04  8.966E-04   6.554E-01
   mg26    2.076E-04  4.345E-04   2.821E-01   3.218E-04  5.487E-04   3.834E-01
   al26    1.348E-05  1.348E-05   0.000E+00   1.344E-05  1.344E-05   0.000E+00
   al27    7.898E-06  1.741E-04   2.014E-02   9.598E-06  1.758E-04   2.436E-02
   si28    1.401E-05  1.924E-03   3.148E-03   1.719E-05  1.927E-03   3.867E-03
   si29    3.096E-06  1.033E-04   1.319E-02   4.353E-06  1.046E-04   1.844E-02
   si30    5.722E-06  7.453E-05   3.467E-02   8.489E-06  7.730E-05   5.049E-02
    p31    1.186E-06  1.941E-05   2.736E-02   1.837E-06  2.006E-05   4.168E-02
    s32   -3.480E-06  1.352E-03  -1.142E-03  -4.944E-06  1.351E-03  -1.612E-03
    s33    6.188E-08  1.110E-05   2.403E-03   7.158E-08  1.111E-05   2.783E-03
    s34   -2.891E-06  5.490E-04  -2.306E-03  -3.818E-06  5.481E-04  -3.040E-03
    s35    3.180E-06  3.180E-06   0.000E+00   4.233E-06  4.233E-06   0.000E+00
   fe54   -1.897E-06  2.046E-04  -4.034E-03  -2.284E-06  2.043E-04  -4.855E-03
   fe55    6.113E-07  6.113E-07   0.000E+00   6.102E-07  6.102E-07   0.000E+00
   fe56   -1.845E-05  3.369E-03  -2.397E-03  -2.459E-05  3.363E-03  -3.189E-03
   fe57    1.735E-06  8.442E-05   8.994E-03   1.661E-06  8.434E-05   8.613E-03
   fe58    6.142E-06  1.685E-05   1.968E-01   7.052E-06  1.776E-05   2.197E-01
   fe60    4.382E-06  4.382E-06   0.000E+00   6.979E-06  6.979E-06   0.000E+00
   co59    2.569E-06  1.280E-05   9.725E-02   3.133E-06  1.337E-05   1.160E-01
   ni58   -1.131E-06  1.457E-04  -3.385E-03  -1.407E-06  1.454E-04  -4.207E-03
   ni60    5.163E-07  5.860E-05   3.818E-03   4.394E-07  5.853E-05   3.247E-03
   ni61    1.487E-05  1.743E-05   8.337E-01   1.811E-05  2.066E-05   9.076E-01
   ni62   -8.192E-06  6.299E-08  -2.117E+00  -8.192E-06  6.299E-08  -2.117E+00
      g    7.623E-07  9.123E-07   7.840E-01   1.139E-06  1.289E-06   9.340E-01
