#                           8.0M Z=0.02 VW93 
#Species    Yield      MassExp     ProdFact    E-Yield    E-MassExp  E-ProdFact 
      p   -6.279E-01  4.256E+00  -5.979E-02  -6.375E-01  4.246E+00  -6.078E-02
    he3    1.879E-05  1.879E-05   0.000E+00   1.878E-05  1.878E-05   0.000E+00
    he4    6.127E-01  2.518E+00   1.211E-01   6.172E-01  2.522E+00   1.219E-01
    li7    3.805E-08  1.122E-07   1.798E-01   3.804E-08  1.122E-07   1.797E-01
    c12   -1.621E-02  7.470E-03  -5.012E-01  -1.150E-02  1.218E-02  -2.887E-01
    c13    7.861E-04  1.071E-03   5.755E-01   7.828E-04  1.067E-03   5.742E-01
    n14    4.258E-02  4.985E-02   8.363E-01   4.245E-02  4.972E-02   8.351E-01
    n15   -2.695E-05  1.778E-06  -1.208E+00  -2.696E-05  1.776E-06  -1.209E+00
    o16   -1.327E-02  5.270E-02  -9.756E-02  -1.319E-02  5.279E-02  -9.688E-02
    o17    1.730E-04  1.999E-04   8.718E-01   1.726E-04  1.995E-04   8.709E-01
    o18   -1.467E-04  2.900E-06  -1.713E+00  -1.467E-04  2.900E-06  -1.713E+00
    f19   -2.461E-06  1.408E-06  -4.391E-01  -2.118E-06  1.750E-06  -3.445E-01
   ne20   -2.084E-05  1.252E-02  -7.479E-04  -1.550E-05  1.252E-02  -5.626E-04
   ne21   -2.826E-05  3.734E-06  -9.328E-01  -2.704E-05  4.948E-06  -8.106E-01
   ne22    5.392E-04  1.546E-03   1.862E-01   6.300E-04  1.637E-03   2.110E-01
   na23    2.479E-04  5.236E-04   2.786E-01   2.499E-04  5.255E-04   2.802E-01
   mg24   -2.202E-04  3.821E-03  -2.436E-02  -2.233E-04  3.818E-03  -2.470E-02
   mg25    2.988E-04  8.317E-04   1.933E-01   4.046E-04  9.374E-04   2.453E-01
   mg26    4.092E-04  1.019E-03   2.228E-01   6.634E-04  1.274E-03   3.195E-01
   al26    6.165E-06  6.165E-06   0.000E+00   6.148E-06  6.148E-06   0.000E+00
   al27    1.041E-05  4.572E-04   9.976E-03   1.616E-05  4.630E-04   1.541E-02
   si28    2.190E-05  5.160E-03   1.822E-03   2.926E-05  5.167E-03   2.441E-03
   si29    5.766E-06  2.752E-04   9.171E-03   8.780E-06  2.782E-04   1.390E-02
   si30    1.097E-05  1.960E-04   2.499E-02   1.751E-05  2.025E-04   3.925E-02
    p31    2.115E-06  5.110E-05   1.833E-02   3.478E-06  5.246E-05   2.977E-02
    s32   -7.511E-06  3.637E-03  -9.213E-04  -1.169E-05  3.633E-03  -1.421E-03
    s33    1.528E-07  2.983E-05   2.206E-03   1.931E-07  2.987E-05   2.791E-03
    s34   -6.459E-06  1.477E-03  -1.920E-03  -9.281E-06  1.475E-03  -2.750E-03
    s35    7.077E-06  7.077E-06   0.000E+00   1.024E-05  1.024E-05   0.000E+00
   fe54   -4.478E-06  5.510E-04  -3.540E-03  -5.727E-06  5.498E-04  -4.526E-03
   fe55    1.564E-06  1.564E-06   0.000E+00   1.562E-06  1.562E-06   0.000E+00
   fe56   -4.135E-05  9.063E-03  -2.002E-03  -6.043E-05  9.044E-03  -2.917E-03
   fe57    4.519E-06  2.269E-04   8.712E-03   4.583E-06  2.269E-04   8.835E-03
   fe58    1.528E-05  4.407E-05   1.849E-01   1.988E-05  4.867E-05   2.280E-01
   fe60    9.088E-06  9.088E-06   0.000E+00   1.624E-05  1.624E-05   0.000E+00
   co59    6.392E-06  3.391E-05   9.069E-02   8.966E-06  3.648E-05   1.225E-01
   ni58   -2.619E-06  3.922E-04  -2.916E-03  -3.509E-06  3.913E-04  -3.903E-03
   ni60    1.173E-06  1.573E-04   3.227E-03   9.466E-07  1.571E-04   2.600E-03
   ni61    3.482E-05  4.169E-05   7.830E-01   4.268E-05  4.955E-05   8.580E-01
   ni62   -2.205E-05  1.437E-07  -2.189E+00  -2.205E-05  1.437E-07  -2.189E+00
      g    1.510E-06  1.913E-06   6.762E-01   2.376E-06  2.779E-06   8.382E-01
