#                            8.5M Z=0.02 VW93 
#Species    Yield      MassExp     ProdFact    E-Yield    E-MassExp  E-ProdFact 
      p   -6.849E-01  4.494E+00  -6.163E-02  -6.948E-01  4.484E+00  -6.259E-02
    he3    2.176E-05  2.176E-05   0.000E+00   2.174E-05  2.174E-05   0.000E+00
    he4    6.684E-01  2.689E+00   1.241E-01   6.728E-01  2.693E+00   1.248E-01
    li7    8.923E-08  1.679E-07   3.292E-01   8.920E-08  1.679E-07   3.291E-01
    c12   -1.733E-02  7.784E-03  -5.088E-01  -1.226E-02  1.285E-02  -2.909E-01
    c13    9.459E-04  1.248E-03   6.165E-01   9.419E-04  1.244E-03   6.151E-01
    n14    4.612E-02  5.383E-02   8.441E-01   4.598E-02  5.369E-02   8.430E-01
    n15   -2.772E-05  2.745E-06  -1.045E+00  -2.773E-05  2.742E-06  -1.046E+00
    o16   -1.478E-02  5.518E-02  -1.031E-01  -1.466E-02  5.530E-02  -1.021E-01
    o17    2.416E-04  2.701E-04   9.770E-01   2.410E-04  2.695E-04   9.761E-01
    o18   -1.542E-04  4.473E-06  -1.550E+00  -1.542E-04  4.473E-06  -1.550E+00
    f19   -3.064E-06  1.038E-06  -5.968E-01  -2.882E-06  1.220E-06  -5.266E-01
   ne20    1.924E-06  1.330E-02   3.758E-05   1.187E-05  1.331E-02   3.625E-04
   ne21   -2.971E-05  4.213E-06  -9.059E-01  -2.842E-05  5.499E-06  -7.903E-01
   ne22    4.478E-04  1.516E-03   1.521E-01   4.839E-04  1.552E-03   1.623E-01
   na23    2.527E-04  5.450E-04   2.705E-01   2.549E-04  5.472E-04   2.723E-01
   mg24   -7.312E-04  3.555E-03  -8.127E-02  -7.285E-04  3.557E-03  -8.093E-02
   mg25    8.814E-04  1.447E-03   4.082E-01   1.009E-03  1.574E-03   4.449E-01
   mg26    5.709E-04  1.218E-03   2.747E-01   8.937E-04  1.541E-03   3.768E-01
   al26    9.460E-06  9.460E-06   0.000E+00   9.433E-06  9.433E-06   0.000E+00
   al27    1.053E-05  4.844E-04   9.524E-03   1.557E-05  4.894E-04   1.401E-02
   si28    2.337E-05  5.472E-03   1.834E-03   3.262E-05  5.481E-03   2.567E-03
   si29    7.599E-06  2.933E-04   1.138E-02   1.173E-05  2.974E-04   1.745E-02
   si30    1.522E-05  2.114E-04   3.242E-02   2.406E-05  2.202E-04   5.022E-02
    p31    3.145E-06  5.509E-05   2.551E-02   5.038E-06  5.698E-05   4.018E-02
    s32   -9.016E-06  3.856E-03  -1.040E-03  -1.392E-05  3.851E-03  -1.593E-03
    s33    1.504E-07  3.162E-05   2.046E-03   2.117E-07  3.168E-05   2.887E-03
    s34   -7.326E-06  1.566E-03  -2.052E-03  -1.042E-05  1.563E-03  -2.910E-03
    s35    7.992E-06  7.992E-06   0.000E+00   1.149E-05  1.149E-05   0.000E+00
   fe54   -4.676E-06  5.844E-04  -3.486E-03  -5.976E-06  5.831E-04  -4.453E-03
   fe55    1.714E-06  1.714E-06   0.000E+00   1.710E-06  1.710E-06   0.000E+00
   fe56   -4.553E-05  9.609E-03  -2.078E-03  -6.610E-05  9.589E-03  -3.009E-03
   fe57    3.394E-06  2.392E-04   6.182E-03   3.187E-06  2.390E-04   5.805E-03
   fe58    1.255E-05  4.309E-05   1.496E-01   1.585E-05  4.638E-05   1.816E-01
   fe60    1.419E-05  1.419E-05   0.000E+00   2.333E-05  2.333E-05   0.000E+00
   co59    6.363E-06  3.554E-05   8.565E-02   8.396E-06  3.757E-05   1.098E-01
   ni58   -2.707E-06  4.159E-04  -2.842E-03  -3.632E-06  4.150E-04  -3.810E-03
   ni60    8.650E-07  1.664E-04   2.238E-03   5.143E-07  1.661E-04   1.322E-03
   ni61    4.031E-05  4.760E-05   8.151E-01   5.021E-05  5.749E-05   8.971E-01
   ni62   -2.338E-05  1.489E-07  -2.199E+00  -2.338E-05  1.489E-07  -2.199E+00
      g    2.115E-06  2.542E-06   7.741E-01   3.237E-06  3.664E-06   9.328E-01
