			   8.5M Z=0.02 B95	
Species    Yield      MassExp     ProdFact    E-Yield    E-MassExp  E-ProdFact 
      p   -6.616E-01  4.522E+00  -5.932E-02  -6.632E-01  4.521E+00  -5.948E-02
    he3    5.650E-05  5.650E-05   0.000E+00   5.648E-05  5.648E-05   0.000E+00
    he4    6.574E-01  2.679E+00   1.222E-01   6.581E-01  2.680E+00   1.223E-01
    li7    3.328E-07  4.116E-07   7.182E-01   3.327E-07  4.115E-07   7.181E-01
    c12   -1.888E-02  6.257E-03  -6.040E-01  -1.796E-02  7.183E-03  -5.441E-01
    c13    1.174E-03  1.476E-03   6.890E-01   1.173E-03  1.475E-03   6.889E-01
    n14    3.444E-02  4.215E-02   7.375E-01   3.442E-02  4.213E-02   7.373E-01
    n15   -2.836E-05  2.137E-06  -1.154E+00  -2.836E-05  2.137E-06  -1.155E+00
    o16   -1.316E-02  5.687E-02  -9.040E-02  -1.313E-02  5.690E-02  -9.019E-02
    o17    1.777E-04  2.062E-04   8.595E-01   1.776E-04  2.061E-04   8.593E-01
    o18   -1.502E-04  8.665E-06  -1.263E+00  -1.502E-04  8.665E-06  -1.263E+00
    f19   -1.268E-06  2.838E-06  -1.604E-01  -1.206E-06  2.900E-06  -1.511E-01
   ne20   -4.151E-05  1.327E-02  -1.382E-03  -4.044E-05  1.327E-02  -1.347E-03
   ne21   -2.570E-05  8.253E-06  -6.143E-01  -2.557E-05  8.390E-06  -6.072E-01
   ne22    2.819E-04  1.351E-03   1.016E-01   3.025E-04  1.371E-03   1.082E-01
   na23    2.912E-04  5.838E-04   3.000E-01   2.913E-04  5.839E-04   3.001E-01
   mg24   -6.084E-05  4.229E-03  -6.229E-03  -6.185E-05  4.228E-03  -6.333E-03
   mg25   -7.492E-06  5.581E-04  -5.816E-03   5.499E-06  5.711E-04   4.177E-03
   mg26    1.015E-04  7.492E-04   6.322E-02   1.299E-04  7.776E-04   7.936E-02
   al26    4.383E-06  4.383E-06   0.000E+00   4.381E-06  4.381E-06   0.000E+00
   al27    2.163E-06  4.764E-04   1.951E-03   2.535E-06  4.768E-04   2.290E-03
   si28    3.463E-06  5.457E-03   2.505E-04   4.956E-06  5.459E-03   3.692E-04
   si29    4.870E-07  2.864E-04   7.138E-04   9.492E-07  2.869E-04   1.414E-03
   si30    1.073E-06  1.974E-04   2.341E-03   1.943E-06  1.983E-04   4.251E-03
    p31    3.021E-07  5.230E-05   2.491E-03   4.730E-07  5.247E-05   3.908E-03
    s32   -9.157E-07  3.867E-03  -1.281E-04  -1.484E-06  3.867E-03  -1.920E-04
    s33    5.419E-08  3.155E-05   7.213E-04   6.203E-08  3.156E-05   8.293E-04
    s34   -1.459E-06  1.574E-03  -4.276E-04  -1.896E-06  1.573E-03  -5.485E-04
    s35    1.548E-06  1.548E-06   0.000E+00   2.032E-06  2.032E-06   0.000E+00
   fe54   -2.107E-06  5.875E-04  -1.580E-03  -2.325E-06  5.873E-04  -1.741E-03
   fe55    1.718E-06  1.718E-06   0.000E+00   1.720E-06  1.720E-06   0.000E+00
   fe56   -6.832E-06  9.657E-03  -3.323E-04  -9.825E-06  9.654E-03  -4.670E-04
   fe57    3.009E-06  2.390E-04   5.477E-03   3.143E-06  2.391E-04   5.720E-03
   fe58    2.521E-06  3.308E-05   3.441E-02   3.634E-06  3.419E-05   4.877E-02
   fe60    4.547E-07  4.547E-07   0.000E+00   1.085E-06  1.085E-06   0.000E+00
   co59    1.016E-06  3.022E-05   1.483E-02   1.472E-06  3.068E-05   2.133E-02
   ni58   -8.394E-07  4.182E-04  -8.961E-04  -9.951E-07  4.181E-04  -1.058E-03
   ni60   -7.983E-08  1.656E-04  -2.345E-04   2.333E-08  1.657E-04   3.588E-05
   ni61    2.446E-05  3.176E-05   6.389E-01   2.560E-05  3.289E-05   6.542E-01
   ni62   -2.339E-05  1.607E-07  -2.166E+00  -2.339E-05  1.607E-07  -2.166E+00
      g    4.689E-07  8.969E-07   3.212E-01   5.847E-07  1.013E-06   3.740E-01
		  	   8.5M Z=0.02 VL
Species    Yield      MassExp     ProdFact    E-Yield    E-MassExp  E-ProdFact 
      p   -7.011E-01  4.475E+00  -6.324E-02  -7.142E-01  4.462E+00  -6.451E-02
    he3    1.860E-05  1.860E-05   0.000E+00   1.859E-05  1.859E-05   0.000E+00
    he4    6.776E-01  2.697E+00   1.256E-01   6.828E-01  2.702E+00   1.265E-01
    li7    1.621E-08  9.484E-08   8.137E-02   1.620E-08  9.484E-08   8.135E-02
    c12   -1.619E-02  8.909E-03  -4.499E-01  -9.094E-03  1.601E-02  -1.954E-01
    c13    1.031E-03  1.332E-03   6.453E-01   1.025E-03  1.326E-03   6.433E-01
    n14    5.266E-02  6.036E-02   8.941E-01   5.244E-02  6.014E-02   8.925E-01
    n15   -2.561E-05  4.843E-06  -7.985E-01  -2.563E-05  4.825E-06  -8.001E-01
    o16   -1.595E-02  5.397E-02  -1.125E-01  -1.569E-02  5.423E-02  -1.104E-01
    o17    2.283E-04  2.568E-04   9.554E-01   2.276E-04  2.561E-04   9.541E-01
    o18   -1.472E-04  1.137E-05  -1.144E+00  -1.472E-04  1.137E-05  -1.144E+00
    f19   -3.151E-06  9.491E-07  -6.355E-01  -2.714E-06  1.386E-06  -4.710E-01
   ne20    2.984E-05  1.332E-02   9.489E-04   4.813E-05  1.334E-02   1.545E-03
   ne21   -2.809E-05  5.817E-06  -7.656E-01  -2.643E-05  7.479E-06  -6.564E-01
   ne22    5.267E-04  1.594E-03   1.742E-01   5.979E-04  1.665E-03   1.932E-01
   na23    2.262E-04  5.183E-04   2.490E-01   2.290E-04  5.211E-04   2.513E-01
   mg24   -1.172E-03  3.111E-03  -1.389E-01  -1.168E-03  3.115E-03  -1.383E-01
   mg25    1.463E-03  2.028E-03   5.551E-01   1.633E-03  2.198E-03   5.901E-01
   mg26    8.894E-04  1.536E-03   3.757E-01   1.331E-03  1.978E-03   4.854E-01
   al26    1.574E-05  1.574E-05   0.000E+00   1.568E-05  1.568E-05   0.000E+00
   al27    1.736E-05  4.909E-04   1.561E-02   2.513E-05  4.987E-04   2.243E-02
   si28    3.719E-05  5.483E-03   2.931E-03   5.147E-05  5.497E-03   4.060E-03
   si29    1.227E-05  2.978E-04   1.825E-02   1.766E-05  3.032E-04   2.604E-02
   si30    2.487E-05  2.209E-04   5.183E-02   3.573E-05  2.318E-04   7.268E-02
    p31    5.150E-06  5.707E-05   4.105E-02   7.467E-06  5.938E-05   5.833E-02
    s32   -1.442E-05  3.848E-03  -1.650E-03  -2.046E-05  3.842E-03  -2.332E-03
    s33    1.970E-07  3.165E-05   2.687E-03   2.547E-07  3.170E-05   3.477E-03
