			   7.0M Z=0.02 VW-M 		
Species    Yield      MassExp     ProdFact    E-Yield    E-MassExp  E-ProdFact 
      p   -8.259E-01  3.401E+00  -9.445E-02  -8.370E-01  3.389E+00  -9.587E-02
    he3    2.829E-06  2.829E-06   0.000E+00   2.829E-06  2.829E-06   0.000E+00
    he4    6.614E-01  2.310E+00   1.465E-01   6.663E-01  2.315E+00   1.474E-01
    li7   -6.377E-08  4.324E-10  -2.172E+00  -6.377E-08  4.324E-10  -2.172E+00
    c12   -9.245E-03  1.125E-02  -2.605E-01  -3.863E-03  1.663E-02  -9.073E-02
    c13    1.873E-03  2.119E-03   9.348E-01   1.864E-03  2.110E-03   9.331E-01
    n14    1.743E-01  1.806E-01   1.458E+00   1.736E-01  1.799E-01   1.456E+00
    n15   -2.075E-05  4.118E-06  -7.809E-01  -2.076E-05  4.107E-06  -7.821E-01
    o16   -2.303E-02  3.406E-02  -2.243E-01  -2.293E-02  3.417E-02  -2.230E-01
    o17    7.730E-05  1.005E-04   6.361E-01   7.699E-05  1.002E-04   6.348E-01
    o18   -1.271E-04  2.404E-06  -1.731E+00  -1.271E-04  2.404E-06  -1.731E+00
    f19   -1.054E-06  2.294E-06  -1.642E-01  -2.184E-07  3.129E-06  -2.933E-02
   ne20    1.741E-04  1.102E-02   6.887E-03   1.853E-04  1.103E-02   7.328E-03
   ne21   -2.425E-05  3.438E-06  -9.059E-01  -2.193E-05  5.752E-06  -6.824E-01
   ne22    9.042E-03  9.913E-03   1.056E+00   9.466E-03  1.034E-02   1.074E+00
   na23    2.746E-04  5.131E-04   3.326E-01   2.862E-04  5.247E-04   3.424E-01
   mg24   -8.147E-04  2.683E-03  -1.152E-01  -8.149E-04  2.683E-03  -1.152E-01
   mg25    3.583E-03  4.044E-03   9.429E-01   3.805E-03  4.266E-03   9.661E-01
   mg26    7.583E-03  8.111E-03   1.186E+00   8.247E-03  8.775E-03   1.221E+00
   al26    7.598E-05  7.598E-05   0.000E+00   7.572E-05  7.572E-05   0.000E+00
   al27    3.400E-04  7.266E-04   2.739E-01   3.574E-04  7.441E-04   2.842E-01
   si28    2.825E-04  4.729E-03   2.673E-02   2.980E-04  4.745E-03   2.814E-02
   si29    8.013E-05  3.133E-04   1.283E-01   8.446E-05  3.176E-04   1.342E-01
   si30    1.639E-04  3.240E-04   3.061E-01   1.735E-04  3.336E-04   3.188E-01
    p31    3.633E-05  7.872E-05   2.688E-01   3.893E-05  8.132E-05   2.829E-01
    s32   -1.051E-04  3.049E-03  -1.475E-02  -1.106E-04  3.043E-03  -1.553E-02
    s33    1.187E-06  2.687E-05   1.960E-02   1.218E-06  2.690E-05   2.010E-02
    s34   -7.683E-05  1.207E-03  -2.682E-02  -8.030E-05  1.204E-03  -2.807E-02
    s35    8.568E-05  8.568E-05   0.000E+00   8.965E-05  8.965E-05   0.000E+00
   fe54   -3.721E-05  4.435E-04  -3.502E-02  -3.867E-05  4.421E-04  -3.645E-02
   fe55    1.160E-06  1.160E-06   0.000E+00   1.157E-06  1.157E-06   0.000E+00
   fe56   -5.192E-04  7.360E-03  -2.963E-02  -5.423E-04  7.337E-03  -3.099E-02
   fe57    1.625E-05  2.087E-04   3.518E-02   1.600E-05  2.084E-04   3.467E-02
