#		            6.5M Z=0.004 VW93
#Species    Yield      MassExp     ProdFact    E-Yield    E-MassExp  E-ProdFact 
      p   -5.492E-01  3.531E+00  -6.281E-02  -5.557E-01  3.525E+00  -6.361E-02
    he3    3.871E-06  3.871E-06   0.000E+00   3.871E-06  3.871E-06   0.000E+00
    he4    5.239E-01  1.915E+00   1.387E-01   5.272E-01  1.919E+00   1.395E-01
    li7   -1.163E-08  1.340E-10  -1.944E+00  -1.163E-08  1.340E-10  -1.944E+00
    c12    3.340E-04  4.291E-03   3.517E-02   3.297E-03  7.254E-03   2.632E-01
    c13    4.848E-04  5.299E-04   1.070E+00   4.828E-04  5.279E-04   1.068E+00
    n14    2.898E-02  3.020E-02   1.396E+00   2.891E-02  3.013E-02   1.395E+00
    n15   -3.589E-06  9.679E-07  -6.728E-01  -3.590E-06  9.666E-07  -6.734E-01
    o16   -5.167E-03  5.857E-03  -2.747E-01  -5.069E-03  5.955E-03  -2.675E-01
    o17    1.793E-05  2.219E-05   7.169E-01   1.790E-05  2.216E-05   7.163E-01
    o18   -2.325E-05  4.817E-07  -1.693E+00  -2.325E-05  4.817E-07  -1.693E+00
    f19   -3.487E-07  2.648E-07  -3.649E-01  -2.070E-07  4.065E-07  -1.787E-01
   ne20    1.906E-05  2.008E-03   4.117E-03   2.294E-05  2.012E-03   4.955E-03
   ne21   -4.539E-06  5.346E-07  -9.773E-01  -4.144E-06  9.305E-07  -7.366E-01
   ne22    3.494E-04  5.090E-04   5.035E-01   4.081E-04  5.677E-04   5.509E-01
   na23    1.234E-05  5.608E-05   1.079E-01   1.380E-05  5.753E-05   1.191E-01
   mg24   -4.770E-04  1.639E-04  -5.922E-01  -4.762E-04  1.647E-04  -5.901E-01
   mg25    5.311E-04  6.156E-04   8.623E-01   5.585E-04  6.430E-04   8.812E-01
   mg26    2.211E-04  3.179E-04   5.165E-01   3.087E-04  4.055E-04   6.221E-01
   al26    2.835E-05  2.835E-05   0.000E+00   2.829E-05  2.829E-05   0.000E+00
   al27    1.330E-05  8.416E-05   7.467E-02   1.491E-05  8.576E-05   8.288E-02
   si28    1.487E-05  8.297E-04   7.827E-03   1.694E-05  8.318E-04   8.911E-03
   si29    2.944E-06  4.567E-05   2.891E-02   3.566E-06  4.630E-05   3.479E-02
   si30    5.329E-06  3.467E-05   7.246E-02   6.682E-06  3.602E-05   8.908E-02
    p31    1.155E-06  8.924E-06   6.015E-02   1.530E-06  9.300E-06   7.805E-02
    s32   -3.064E-06  5.750E-04  -2.334E-03  -3.687E-06  5.744E-04  -2.805E-03
    s33    5.018E-08  4.755E-06   4.582E-03   5.423E-08  4.759E-06   4.952E-03
    s34   -2.448E-06  2.329E-04  -4.566E-03  -2.836E-06  2.325E-04  -5.291E-03
    s35    2.712E-06  2.712E-06   0.000E+00   3.162E-06  3.162E-06   0.000E+00
   fe54   -1.421E-06  8.666E-05  -7.092E-03  -1.582E-06  8.650E-05  -7.898E-03
   fe55    2.639E-07  2.639E-07   0.000E+00   2.635E-07  2.635E-07   0.000E+00
